イングリッシュベル英会話,englishbell,https://english-bell.com/ja/index.html,1回,,,,,,,2008,1,0,0,0,1,0,質の高いレッスンと豊富なプランが特徴の老舗スクール,2008年開校の歴史のあるスクール。質の高いレッスンを提供する事にこだわり、１８種類のクラスから毎日希望のレッスンを選択可能。回数制レッスン料金のため、無駄なく消化できるのがポイント。
QQEnglish,qqenglish,https://www.qqeng.com,1回,,,,,,,2009,1,0,0,1,1,1,多くの教育機関に導入実績をもつ実力派スクール,「読/書/聞/話」の英語４技能をバランスよく伸ばすために、独自の教材やカランメソッドを導入。様々なニーズに応えるため、毎日レッスンとポイント制の２つの料金プランが用意されている。
BizEnglish,bizenglish,http://bizen.co/index2.html#fee,なし,,,,,,,2010,0,0,0,0,0,0,３ヶ月で英語をマスターすることを目指すスクール,本気で英語を話せるようになりたい人におすすめのスクール。３ヶ月間専任の講師、アウトプットに重点をおいたレッスンなど、３ヶ月で英語を話せるようになるための指導を行なっている。
LEARNie,learnie,https://www.learnie-inc.com,2回,平日,17:00〜21:00,土日,10:00〜21:00,,,2017,1,0,0,1,0,1,楽しく英語を学ぶことにこだわったキッズ専用スクール,バイリンガル日本人講師、友達と受けられるグループレッスン、ゲームを取り入れたレッスンなど、キッズが楽しみながら英語を学ぶことにこだわったキッズ専用のスクール。
kimini,kimini,https://glats.co.jp,10日間,全日,6:00〜24:00,,,,,2016,1,0,0,1,0,0,教育事業業界の老舗「学研」が運営するスクール,教育事業業界の老舗企業による運営は安心感抜群。さらにオリジナルベストセラーの教材を使ったレッスンなど学研ならではのカリキュラムも魅力となっている。
vipabc,vipabc,https://www.vipabc.co.jp,1回,,,,,,,2016,1,1,0,0,1,1,シリコンバレー発のオンライン英会話スクール,国際資格を保持した一流プロ講師陣と、ハイテクのカリキュラム構築システムにより、一人ひとりのレベル・ニーズに応じたレッスンを提供。３チームによる安心のサポート体制も心強い。
ハッチリンクジュニア,hatchlinkjr,https://www.hatchlinkjr.com,2回,平日,9:00〜23:00,土祝,9:00〜18:30,日,9:00〜18:30,2010,1,0,1,1,0,0,家族内でアカウントを共有できるキッズ専用スクール,楽しく英語を話すことを目標にしたキッズ専用のスクール。回数制のレッスンを家族間で共有できるので、１つのアカウントで兄弟や両親がレッスンを受ける事ができるシステムが魅力。
WOMANオンライン英会話,womanonline,http://woman-online.co.jp,1回,,,,,,,2015,1,0,0,0,1,0,,
フィリピン英会話ネット（PEN）,pen,https://philippine-english.net,3回,全日,6:00〜25:00,,,,,2015,1,0,0,0,0,1,,
NativeCamp,nativecamp,https://nativecamp.net,7日間,,,,,,,2015,1,1,1,0,1,0,,
Best Teacher,bestteacher,http://www.best-teacher-inc.com,1回,,,,,,,2012,1,1,0,0,1,0,,
産経オンライン英会話,sankei,https://learning.sankei.co.jp,2回,全日,5:00〜25:00,,,,,2012,1,0,0,0,0,1,,
エイゴックス,eigox,https://eigox.jp,1回,,,,,,,2012,1,1,1,0,1,1,,
KidsStarEnglish,kidsstarenglish,http://www.kids-star.jp,1回,全日,6:00〜25:00,,,,,2012,1,0,0,1,0,0,,
DMM,dmm,http://eikaiwa.dmm.com,2回,,,,,,,2013,1,1,0,1,1,0,,
Bizmates,bizmates,http://www.bizmates.jp,1回,,,,,,,2012,1,0,0,0,1,0,,
mytutor,mytutor,http://www.mytutor-jpn.com,2回,平日,15:00〜24:55,土日,11:00〜24:00,,,2011,1,0,0,0,0,1,,
ジオスオンライン,geos,https://geos.jp,1回,,,,,,,2012,1,0,0,1,1,0,,
AYS ENGLISH,aysenglish,http://www.ays-e.com,2回,平日,7:00〜25:00,土日,12:00〜21:00,,,2010,1,0,0,1,0,1,,
ラングリッチ,langrich,http://www.langrich.com,2回,,5:00〜25:00,,,,,2010,1,0,0,0,0,0,,
EFイングリッシュライブ,efenglishive,https://englishlive.ef.com/ja-jp/,7日間,,,,,,,1996,1,1,0,0,1,0,,
リップルキッズパーク,ripplekidspark,https://www.ripple-kidspark.com,2回,平日,7:00〜22:55,土,9:00〜18:55,日,9:00〜17:25,2009,1,0,0,1,0,0,,
hanaso,hanaso,https://www.hanaso.jp,2回,全日,6:00〜24:55,,,,,2009,1,0,0,0,0,0,,
レアジョブ,rarejob,https://www.rarejob.com,2回,全日,6:00〜25:00,,,,,2007,1,0,0,0,0,0,,
e英会話,eeikaiwa,http://eeikaiwa.com,3回,全日,6:00〜25:10,,,,,2006,1,0,1,1,0,0,,
グローバル・コミュニケーションズ,globalcomunications,http://www.globalcom-online-english-school.co.jp,なし,全日,9:00〜23:55,,,,,1999,0,1,0,1,0,1,,
COCO塾ジュニアオンライン,cocojuku,http://jr.cocojuku.jp,2回,平日,10:00〜24:00,土日祝,8:00〜24:00,,,2013,1,0,0,1,0,0,,
GLOBAL CROWN,globalcrown,https://www.global-crown.com,2回,全日,15:00〜21:00,,,,,2015,1,0,1,1,0,1,,
大人の英会話倶楽部,otonanoeikaiwaclub,https://www.english-dialogclub.com,1回〜,,,,,,,2014,1,1,1,0,1,1,,
スモールワールドオンライン,smallworld,https://www.sma-world.com,1回〜,,,,,,,2014,1,1,1,1,1,1,,
ワールドトーク,worldtalk,https://www.worldtalk.jp,1回〜,,,,,,,2011,1,1,1,0,1,0,,